ward_id,ward_name
CANT_1,DELHI CANTT CHARGE 1
CANT_2,DELHI CANTT CHARGE 2
CANT_4,DELHI CANTT CHARGE 4
CANT_5,DELHI CANTT CHARGE 5
CANT_6,DELHI CANTT CHARGE 6
CANT_7,DELHI CANTT CHARGE 7
CANT_8,DELHI CANTT CHARGE 8
CANT_3,DELHI CANTT CHARGE 3
NDMC_1,NDMC CHARGE 1
NDMC_2,NDMC CHARGE 2
NDMC_3,NDMC CHARGE 3
NDMC_4,NDMC CHARGE 4
NDMC_5,NDMC CHARGE 5
NDMC_7,NDMC CHARGE 7
NDMC_8,NDMC CHARGE 8
NDMC_9,NDMC CHARGE 9
NDMC_6,NDMC CHARGE 6
80,CHANDNI CHOWK
81,MINTO ROAD
82,KUCHA PANDIT
83,BAZAR SITARAM
85,IDGAH ROAD
108,KHYALA
109,JANAK PURI NORTH
11,MUKHERJEE NAGAR
117,JANAK PURI WEST
118,JANAK PURI SOUTH
119,MILAP NAGAR
120,SITA PURI
133,CHHAWLA
134,NANGLI SAKRAVATI
135,KAKRAULA
140,KHERA
241,DILSHAD GARDEN
242,NEW SEEMA PURI
243,NAND NAGRI
244,SUNDER NAGARI
245,DURGA PURI
246,ASHOK NAGAR
247,RAM NAGAR
248,WELCOME COLONY
249,CHAUHAN BANGER
250,ZAFFRABAD
252,MAUJPUR
255,GHONDA
256,YAMUNA VIHAR
257,SUBHASH MOHALLA
258,KARDAM PURI
259,JANTA COLONY
260,BABAR PUR
261,JIWANPUR
262,GOKALPUR
263,SABOLI
264,HARSH VIHAR
265,SHIV VIHAR
266,KARAWAL NAGAR EAST
268,MUSTAFABAD
269,KHAJOORI KHAS
271,KARAWAL NAGAR WEST
272,SONIA VIHAR
154,NIZAMUDDIN
156,BHOGAL
157,KASTURBA NAGAR
160,AMAR COLONY
161,MALVIYA NAGAR
162,HAUZ RANI
159,ANDREWSGANJ
165,VASANT VIHAR
166,MUNIRKA
168,NANAK PURA
171,VASANTKUNJ
180,DAKSHINPURI EXT.
181,KHANPUR
182,AMBEDKAR NAGAR
183,MADANGIR
184,PUSHP VIHAR
185,TUGHLAKABAD EXTN
187,SANGAM VIHAR CENTRAL
188,SANGAM VIHAR EAST
189,CHIRAG DELHI
190,CHITRANJAN PARK
191,SHAPUR JAT
192,GREATER KAILASH-I
193,SRI NIWASPURI
194,EAST OF KAILASH
195,GOVIND PURI
196,KALKAJI
197,TUGHLAKABAD
198,PUL PEHLAD
199,TEKHAND
200,HARKESH NAGAR
201,JAITPUR
202,MEETHEYPUR
203,BADAR PUR
204,MOLARBAND
206,OKHLA
84,TURKMAN GATE
86,BALLIMARAN
87,RAM NAGAR
88,QASABPURA
89,PAHAR GANJ
146,SADH NAGAR
150,PUSA
151,INDER PURI
152,NARAINA
173,DEOLI
174,CHHATARPUR
175,AYA NAGAR
176,BHATI
207,MADANPUR KHADAR
208,SARITA VIHAR
231,GHONDLI
232,ANARKALI
234,GANDHI NAGAR
235,AZAD NAGAR
236,RAGHUBAR PURA
237,SHAHDARA
238,JHILMIL
239,VIVEK VIHAR
240,DILSHAD COLONY
103,PUNJABI BAGH
96,NEW RANJIT NAGAR
97,KIRTI NAGAR
98,MANSAROWER GARDEN
122,HASTSAL
71,SANGAM PARK
72,MODEL TOWN
69,KAMLA NAGAR
74,INDER LOK COLONY
75,KISHAN GANJ
76,DEPUTY GANJ
77,KASHMERE GATE
78,MAJNU KA TILA
79,JAMA MASJID
114,TILAK NAGAR
115,MAJOR BHUPINDAR SINGH NAGAR
116,VIKASPURI EAST
125,MOHAN GARDEN
126,NAWADA
127,UTTAM NAGAR
128,BINDAPUR
129,DABRI
136,MATIALA
137,ROSHANPURA
209,MAYUR VIHAR PHASE-I
21,ROHINI
210,DALLOPURA
211,TRILOK PURI
212,NEW ASHOK NAGAR
213,KALYAN PURI
214,KHICHRIPUR
215,KONDLI
216,GHAROLI
217,VINOD NAGAR
68,ASHOK VIHAR
67,WAJIRPUR
66,SAWAN PARK
65,NIMRI COLONY
64,SHAKUR PUR
63,KOHAT ENCLAVE
62,RAMPURA
61,TRI NAGAR
60,SARASWATI VIHAR
59,RANI BAGH
58,PASCHIM VIHAR NORTH
57,PASCHIM VIHAR SOUTH
56,SHALIMAR BAGH SOUTH
55,SHALIMAR BAGH NORTH
54,PITAMPUR NORTH
53,PITAMPURA SOUTH
52,NAHARPUR
51,ROHINI EAST
50,ROHINI CENTRAL
48,MANGOLPURI  WEST
46,MANGOLPURI  EAST
45,ROHINI SOUTH
44,QUAMMRUDDIN NAGAR
43,NANGLOI EAST
42,PERAGHARHI
41,GURU HARKISHAN NAGAR
40,SULTANPURI  SOUTH
37,SULTANPURI  EAST
35,KIRARI SULEMAN NAGAR
29,KARALA
27,BEGUMPUR
25,POOTH KALAN
24,VIJAY VIHAR
230,GEETA COLONY
229,KRISHNA  NAGAR
228,PREET VIHAR
227,I.P EXTENTION
225,ANAND VIHAR
223,SHAKARPUR
222,LAXMI NAGAR
22,RITHALA
219,MAYUR VIHAR PHASE II
218,MANDAWALI
100,KARAM PURA
147,MAHAVIR ENCLAVE
131,SAGARPUR
132,SAGARPUR WEST
30,MUNDAKA
95,EAST PATEL NAGAR
94,WEST PATEL NAGAR
92,DEV NAGAR
91,KAROL BAGH
90,MODEL BASTI
70,RANA PRATAP BAGH
4,BAKHTAWAR PUR
3,ALIPUR
26,SAHIBABAD DAULAT PUR
2,BANKNER
9,MALKAGANJ
8,JHARODA
6,MUKUND PUR
28,BAWANA
19,BHALSWA
17,SAMAYPUR BADLI
16,JAHANGIRPURI-I
15,SARAI PIPAL THALA
144,MAHIPALPUR
143,KAPASHERA
141,BIJWASAN
14,ADARASH  NAGAR
13,DHIR PUR
12,G.T.B. NAGAR
10,TIMAR PUR
101,RAJA GARDEN
102,RAGHUBIR NAGAR
105,RAJOURI GARDEN
110,NANGAL RAYA
111,HARI NAGAR
112,SUBHASH NAGAR
148,MADHU VIHAR
23,BUDH VIHAR
31,NANGLOI JAT WEST
34,NITHARI
39,SULTANPUR MAJRA
49,ROHINI NORTH
18,LIBAS PUR
254,BRAHAM PURI
139,DICHAON KALAN
99,MOTI NAGAR
47,MANGOLPURI
155,LAJPAT NAGAR
145,PALAM
172,KISHANGARH
226,VISHWASH NAGAR
104,MADIPUR
149,RAJENDER NAGAR
167,R. K. PURAM
163,SAFDARJANG ENCLAVE
164,HAUZ KHAS
158,KOTLA MUBARAKPUR
130,MANGLAPURI
38,MANGOL PURI  NORTH
106,TAGORE GARDEN
169,LADOSARAI
1,NARELA
5,BHALASWA JAHAGIR PUR
7,BURARI
220,PATPARGANJ
224,PANDAV NAGAR
221,KISHAN KUNJ
233,DHARAMPURA
251,NEW USMANPUR
253,BHAJANPURA
267,NEHRU VIHAR
177,SAID UL AJAIB
178,SANGAM VIHAR
170,MEHRAULI
186,SANGAM VIHAR WEST
179,TIGRI
205,ZAKIR NAGAR
138,NAJAFGARH
20,JAHANGIR PURI -II
121,KUNWAR SINGH NAGAR
124,VIKAS NAGAR
123,VIKAS PURI
113,MAHAVIR NAGAR
153,DARYAGANJ
93,BALJIT NAGAR
32,NILOTHI
36,PRATAP VIHAR
33,PREM NAGAR
73,SHASTRI NAGAR
107,VISHNU GARDEN
270,TUKHMIR PUR
142,RAJ NAGAR

