timestamp,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation
2020-01-01 00:00:00,7.7,78,3.9,0.0
2020-01-01 01:00:00,7.2,81,2.6,0.0
2020-01-01 02:00:00,6.5,89,5.0,0.0
2020-01-01 03:00:00,3.7,100,6.8,0.0
2020-01-01 04:00:00,2.9,100,8.2,0.0
2020-01-01 05:00:00,3.3,98,8.1,0.0
2020-01-01 06:00:00,3.1,98,8.0,0.0
2020-01-01 07:00:00,3.1,98,6.4,2.0
2020-01-01 08:00:00,6.0,89,9.4,78.0
2020-01-01 09:00:00,9.4,75,8.2,227.0
2020-01-01 10:00:00,12.1,64,8.7,363.0
2020-01-01 11:00:00,14.3,55,11.1,480.0
2020-01-01 12:00:00,15.9,52,9.7,549.0
2020-01-01 13:00:00,17.1,52,9.4,528.0
2020-01-01 14:00:00,17.6,53,9.2,431.0
2020-01-01 15:00:00,17.7,54,8.6,311.0
2020-01-01 16:00:00,17.0,60,5.8,178.0
2020-01-01 17:00:00,13.1,79,9.5,48.0
2020-01-01 18:00:00,12.4,81,8.9,0.0
2020-01-01 19:00:00,10.9,86,10.6,0.0
2020-01-01 20:00:00,10.8,87,8.3,0.0
2020-01-01 21:00:00,10.6,87,8.4,0.0
2020-01-01 22:00:00,9.3,89,12.0,0.0
2020-01-01 23:00:00,9.5,89,7.7,0.0
2020-01-02 00:00:00,9.4,89,8.4,0.0
2020-01-02 01:00:00,8.9,88,8.7,0.0
2020-01-02 02:00:00,8.7,88,9.2,0.0
2020-01-02 03:00:00,7.9,89,7.6,0.0
2020-01-02 04:00:00,7.8,90,7.6,0.0
2020-01-02 05:00:00,6.8,91,8.1,0.0
2020-01-02 06:00:00,6.9,91,7.6,0.0
2020-01-02 07:00:00,7.2,91,7.2,1.0
2020-01-02 08:00:00,9.8,84,8.8,78.0
2020-01-02 09:00:00,12.7,76,7.2,237.0
2020-01-02 10:00:00,15.1,69,7.0,394.0
2020-01-02 11:00:00,17.0,64,8.6,512.0
2020-01-02 12:00:00,18.5,59,10.2,563.0
2020-01-02 13:00:00,19.3,56,10.5,525.0
2020-01-02 14:00:00,19.5,56,11.3,426.0
2020-01-02 15:00:00,19.3,57,12.4,316.0
2020-01-02 16:00:00,18.4,62,10.8,178.0
2020-01-02 17:00:00,16.3,72,7.1,49.0
2020-01-02 18:00:00,15.4,77,6.9,0.0
2020-01-02 19:00:00,14.3,83,7.3,0.0
2020-01-02 20:00:00,13.7,86,7.6,0.0
2020-01-02 21:00:00,13.1,89,7.6,0.0
2020-01-02 22:00:00,12.6,89,7.6,0.0
2020-01-02 23:00:00,12.5,89,10.6,0.0
2020-01-03 00:00:00,11.9,84,9.8,0.0
2020-01-03 01:00:00,11.3,85,8.0,0.0
2020-01-03 02:00:00,10.4,90,6.7,0.0
2020-01-03 03:00:00,9.6,92,9.5,0.0
2020-01-03 04:00:00,9.5,93,7.1,0.0
2020-01-03 05:00:00,9.9,93,6.5,0.0
2020-01-03 06:00:00,8.8,96,8.3,0.0
2020-01-03 07:00:00,8.3,97,8.7,1.0
2020-01-03 08:00:00,11.2,90,5.0,75.0
2020-01-03 09:00:00,13.8,80,2.4,233.0
